章节,分组,题型,题号,题目,选项A,选项B,选项C,选项D,选项E,选项F,答案
第十四章,测试题,多选题,,** 各民族只有( )，才能实现共同发展、共同富裕。。,相互支持,相互帮助,优势互补,平等进步,,,ABC
第十四章,测试题,多选题,,* 新中国成立以后，党和国家帮助少数民族群众克服生产生活上的困难的具体做法有( )，为推动建立社会主义民族关系打下了坚实基础。,发放救济粮和救济款。,无偿发放生 产工具，以推动民族地区尽快摆脱落后的生产状况。,派出巡回医疗队实行免 费医疗。,开展民族贸易工作。,,,ABCD
第十四章,测试题,多选题,,** 20世纪90年代以来，对口支援的领域从经济发展扩展到各个领域，并逐步形成相互交错的网状支援格局，成为( )的帮扶。,多领域,多层次,多形式,多内容,,,ABCD
第十四章,测试题,多选题,,* 新中国成立后的前三十年，国家建立起较为完整的( )和( )体系， 基本实现医疗平等与教育平等，解决了中华民族自清末以来“挨饿受穷”与“目 不识丁”这两大基本民生问题。,基础工业,国防工业,社会经济,政治法律,,,AB
第十四章,测试题,多选题,,* 党和国家高度重视民族地区经济发展，通过( )发展等措施，有力提高了民族地区经济发展水平，极大改善了少数民族贫穷落后的面貌。,完善民族区域自治制度,制定优惠政策,推动区域协调,完善社会主义市场经济,,,BC
第十四章,测试题,多选题,,"* 1964 年，中央启动大规模的“三线建设”,在贵州、云南、青海、宁夏及豫西、鄂西、 湘西、桂西北等三线建设重点区域，形成了若干新的工业中心,在一定程度上改变了民族地区工业布局和结构，为民族地区工业化发展提供了人力、资金和技术资源。",人力,资金,技术,资源,,,ABCD
第十四章,测试题,多选题,,"** 新中国成立初期，在中国共产党领导下，各族人民积极投身建设新中国的各
项事业。各族人民共同捍卫国家( )，共同开拓并守护着祖国的 辽阔疆域。",领土完整,主权独立,和平统一,社会稳定,,,AB
第十四章,测试题,多选题,,** 国家还采取各种优惠政策与措施，发展民族地区( )等，保护传承少数民族优秀文化。,生态事业,教育事业,科技事业,卫生事业,,,BCD
第十四章,测试题,判断题,,"* 《共同纲领》代表了全国各民族、各民主阶级、各民主党派、各人民团体的共 同意志，强调要“使中华人民共和国成为各民族友爱合作的大家庭”,要求“中华人民共和国中央人民政府必须负责将人民解放战争进行到底，解放中国全部领土， 完成统一中国的事业”。",,,,,,,对
第十四章,测试题,判断题,,* 1951年，《中央人民政府和西藏地方政府关于和平解放西藏办法的协议》(即“十七条 协议”)在北京签订，西藏和平解放。,,,,,,,对
第十四章,测试题,判断题,,"* 1954年9月，一届全国人大一次会议通过了《中华人民共和国宪法》,这是一部社会主义类型的宪法，体现了人民民主原则和社会主义原则，以根本法的形式确定了中国人民行使当家作主权利的政治制度，从而在宪法意义上奠定了共和国的人民民主底色。",,,,,,,对
第十四章,测试题,判断题,,* 毛泽东在《论持久战》 中指出:“日本敢于欺负我们，主要的原因在于中国民众的无组织状态。”,,,,,,,对
第十四章,测试题,判断题,,** 要想民族独立，必先政治统一;要想政治统一，必先组织起来;要想组织起来，必先依赖一个深入扎根各族群众的先进政党。,,,,,,,对
第十四章,测试题,判断题,,* 《共同纲领》规定了中华人民共 和国的国体和政体，确立了统一多民族国家建设的基本原则和制度安排。,,,,,,,对
第十四章,测试题,判断题,,"* 1954年 宪法规定，“中华人民共和国是工人阶级领导的、以工农联盟为基础的人民民主国 家”,“中华人民共和国的一切权力属于人民。",,,,,,,对
第十四章,测试题,判断题,,* 1954年《中国人民政治协商会议章程》规定，中国人民政治协商会议是“团结全 国各民族、各民主阶级、各民主党派、各人民团体、国外华侨和其他爱国民主人士的人民民主统一战线的组织”。,,,,,,,对
第十四章,测试题,判断题,,* 1952年《中华人民共和国民族区域自治实施纲要》规定，“各民族自治区统 为中华人民共和国领土的不可分离的一部分。各民族自治区的自治机关统为中 央人民政府统一领导下的一级地方政权，并受上级人民政府的领导”。,,,,,,,对
第十四章,测试题,判断题,,* 各民族不论人口多少、历史长短、发展快慢，不论语言文字、风俗习惯和文化传统异同，都具有同等地位，不仅在政治上平等，而且在经济、社会、文化等各领域都 平等享有权利，平等履行义务。,,,,,,,对
第十四章,测试题,判断题,,** 中央对民族地区人均转移支付占民族地区人均财政支出的比重，历年均值都明显高于非民族地区。,,,,,,,"对
章节测验
已完成"
第十五章,章节测验,单选题,,中国特色社会主义进入新时代是在( )。,2010年,2012年,2015年,2017年,,,B
第十五章,章节测验,单选题,,** 下列( )不是新时代党的民族工作面临的新挑战。,民族分裂活动,宗教极端活动,经济高速发展,暴力恐怖活动,,,C
第十五章,章节测验,单选题,,** 铸牢中华民族共同体意识的概念首次明确提出是在( )。,第二次中央新疆工作座谈会,党的十九大,中央民族工作会议,全国民族团结进步表彰大会,,,A
第十五章,章节测验,单选题,,下列不属于“去中国化”错误史观的表现的是( )。,宣扬各种版本的“去中国化”错误史观,割裂中华民族多元一体,强调各民族平等团结,把汉族等同于中华民族,,,C
第十五章,章节测验,单选题,,** 党的民族工作从过去主要促进民族间的团结转向了( )。,推动各民族共同繁荣发展,推动中华民族整体的融聚发展,加强民族团结教育,提高少数民族文化水平,,,B
第十五章,章节测验,单选题,,** 铸牢中华民族共同体意识是新时代党的民族工作的( )。,次要任务,附加任务,主线,可选任务,,,C
第十五章,章节测验,单选题,,** 中国特色解决民族问题的正确道路解决的世界性难题是( )。,民族平等团结问题,经济发展不平衡问题,文化差异问题,政治制度差异问题,,,A
第十五章,章节测验,单选题,,** 下列不是促进各民族广泛交往交流交融的方式的是( )。,推进各民族人口流动融居,构建互嵌式社会结构和社区环境,禁止少数民族与汉族交往,深化民族团结进步创建工作,,,C
第十五章,章节测验,单选题,,** 中国共产党是团结带领中华民族实现伟大复兴的( )。,先锋队,主力军,坚强领导核心,智囊团,,,C
第十五章,章节测验,单选题,,** 社会主义民族关系的制度基础是( )。,民族区域自治制度,人民代表大会制度,中国共产党领导的多党合作和政治协商制度,基层群众自治制度,,,A
第十五章,章节测验,单选题,,** 下列不属于中华民族共同体建设的新思路的是( )。,确立民族工作主线,坚持基本方法,取消民族政策,抓好重点工作,,,C
第十五章,章节测验,单选题,,** 2021年8月，习近平总书记在( )上强调铸牢中华民族共同体意识是新时代党的民族工作的“纲”。,中央经济工作会议,中央民族工作会议,全国人大会议,全国政协会议,,,B
第十五章,章节测验,单选题,,下列不属于防范民族领域重大风险隐患的措施的是( )。,守好意识形态阵地,正确区分政治原则、思想认识、学术观点问题,鼓励民族分裂活动,旗帜鲜明反对历史虚无主义,,,C
第十五章,章节测验,单选题,,** 中国式现代化是( )的现代化。,西方化,中国特色,国际化,全球化,,,B
第十五章,章节测验,单选题,,** 下列不属于中国式现代化的特征的是( )。,人口规模巨大的现代化,少数民族特殊的现代化,全体人民共同富裕的现代化,物质文明和精神文明相协调的现代化,,,B
第十五章,章节测验,单选题,,** 党的二十大报告指出，中国式现代化是走( )道路的现代化。,和平发展,霸权主义,殖民扩张,孤立主义,,,A
第十五章,章节测验,单选题,,** 下列不属于新时代中华民族共同体建设的新成就的是( )。,政治上更加团结统一,经济上更加两极分化,文化上更加创新交融,社会上更加互嵌共融,,,B
第十五章,章节测验,单选题,,** 中国特色社会主义进入新时代，是从( )开始的。,党的十八大,党的十九大,党的十七大,党的十六大,,,A
第十五章,章节测验,单选题,,** 2023年6月，习近平总书记在( )考察时首次提出铸牢中华民族共同体意识也是民族地区各项工作的主线。,新疆,西藏,内蒙古,青海,,,C
第十五章,章节测验,单选题,,** 下列不属于中华民族共同体建设的新挑战的是( )。,中华民族根本利益面临挑战,中华民族伟大复兴面临挑战,社会主义制度面临挑战,社会主义民族关系面临挑战,,,C
第十五章,章节测验,单选题,,** 下列不属于中华民族共同体建设的新路向的是( )。,超大规模现代化之路,走向共同富裕之路,文化霸权之路,物质文明和精神文明之路,,,C
第十五章,章节测验,单选题,,** 下列不属于中国式现代化的要求的是( )。,要求少数民族总体现代化,要求汉族特殊化,建设中华民族共有精神家园,要求民族地区建成生态文明示范区,,,B
第十五章,章节测验,单选题,,** 党的民族工作从过去侧重构建族际关系话语体系转向了( )。,构建中华民族整体话语体系,构建国际话语体系,构建地方话语体系,构建企业话语体系,,,A
第十五章,章节测验,单选题,,** 下列不属于新时代党的民族工作必须坚持的基本方法的是( )。,必须坚持人民至上,必须坚持和目模仿,必须坚持守正创新,必须坚持系统观念,,,B
第十五章,章节测验,单选题,,** 下列不属于铸牢中华民族共同体意识的基本任务的是( )。,引导各族人民牢固树立正确的国家观,忽视对中华民族文化的认同,引导各族人民坚定对伟大祖国的认同,引导各族人民增强国家意识,,,B
第十五章,章节测验,单选题,,** 中国特色社会主义进入新时代，中华民族迎来了历史上最好的发展时期，这一时期被称为( )。,新纪元,新阶段,新时代,新时期,,,C
第十五章,章节测验,单选题,,** 新时代党的民族工作的主线是( )。,民族平等,民族团结,铸牢中华民族共同体意识,各民族共同繁荣,,,C
第十五章,章节测验,单选题,,** 新时代民族工作的转向不包括( )。,从强调多元转向强调一体,从促进民族间团结转向推动中华民族整体融聚发展,从构建族际关系话语体系转向构建中华民族整体话语体系,从“管肚子”转向“管脑子”,,,D
第十五章,章节测验,单选题,,新时代民族工作坚持的基本方法中，“守正”指的是( )。,坚持基本方向、基本制度、基本原则不变,坚持民族平等、民族团结、民族区域自治,坚持中国特色解决民族问题的正确道路,坚持人民至上,,,A
第十五章,章节测验,单选题,,新时代民族工作坚持的基本方法中，“创新”指的是( )。,创新民族工作的方式方法,创新民族政策的实施,创新民族事务治理模式,以上都是,,,D
第十五章,章节测验,单选题,,** 新时代民族工作的重点之一是讲好( )。,中国故事,中华民族故事,民族团结故事,中国梦故事,,,B
第十五章,章节测验,单选题,,** 新时代民族工作面临的挑战之一是( )。,民族分裂活动,经济发展不平衡,教育资源不足,以上都是,,,D
第十五章,章节测验,单选题,,** 新时代民族工作的重点之一是有效防范化解( )。,经济风险,民族领域重大风险隐患,社会矛盾,国际冲突,,,B
第十五章,章节测验,单选题,,** 新时代民族工作的重点之一是旗帜鲜明反对( )。,历史虚无主义,大汉族主义,地方民族主义,以上都是,,,D
第十五章,章节测验,单选题,,** 新时代民族工作的目标是推进( )。,中华民族伟大复兴,中华民族共同体建设,中国式现代化,以上都是,,,D
第十五章,章节测验,多选题,,** 新时代中国特色社会主义面临的战略全局和变局包括( )。,中华民族伟大复兴战略全局,世界百年未有之大变局,国内经济结构转型,国际政治格局重塑,,,AB
第十五章,章节测验,多选题,,新时代中华民族共同体建设面临的新挑战包括( )。,民族分裂活动、宗教极端活动、暴力恐怖活动,僵化、片面地理解马克思主义民族理论,照抄照搬西方民族国家理论,经济发展不平衡不充分,,,ABCD
第十五章,章节测验,多选题,,外部因素给中华民族共同体建设带来的挑战有( )。,个别霸权国家制造民族话题攻击中国,一些国家的“泛民族主义”思潮影响,民族分裂主义和宗教极端思想“境外有种子、境内有土壤”,部分地区不同民族群众间的文化碰撞,,,ABC
第十五章,章节测验,多选题,,内部因素对中华民族共同体建设的挑战包括( )。,部分对民族地区的差别化支持政策固化了民族差异,少数民族历史族源向西寻根，文化向外溯源,片面搞“民族搭台，经济唱戏”,发展不平衡不充分问题突出,,,ABCD
第十五章,章节测验,多选题,,** 党的十八大以来，党中央推进中华民族共同体建设的措施有( )。,明确提出铸牢中华民族共同体意识概念,,,,,,AB
第十五章,章节测验,多选题,,** 铸牢中华民族共同体意识作为新时代党的民族工作主线的重要性体现在( )。,巩固中华民族伟大复兴的共同思想政治基础,拓展中国特色解决民族问题的正确道路,促进各民族共同繁荣发展,提高国家通用语言文字普及程度,,,ABC
第十五章,章节测验,多选题,,** 坚持铸牢中华民族共同体意识的基本方法包括( )。,坚持自信自立,坚持人民至上,坚持守正创新,坚持系统观念,,,ABCD
第十五章,章节测验,多选题,,** 中华民族共同体建设在政治上取得的成就包括( )。,深化全面依法治国,发展全过程人民民主,坚持和完善民族区域自治制度,推动民族地区高质量发展,,,ABC
第十五章,章节测验,多选题,,** 经济上更加共富共享体现在( )。,消除绝对贫困，全面建成小康社会,民族地区城乡居民收入水平普遍提高,共建“一带一路”为民族地区赋能,推动基础设施和公共服务均等化,,,ABCD
第十五章,章节测验,多选题,,** 文化上更加创新交融的具体表现有( )。,新的各民族共享文化符号不断生发,中华优秀传统文化创造性转化与创新性发展,民族文化“标签化”现象得到纠正,文化建设的制度保障不断强化,,,ABD
第十五章,章节测验,多选题,,** 中华民族共同体建设在社会互嵌共融方面的成就包括( )。,人口大流动促进各族交往交流交融,互嵌式社会结构和社区环境日益形成,加强对少数民族流动人口的服务和管理,推动民族地区融入新发展格局,,,ABC
第十五章,章节测验,多选题,,在生态文明建设方面，中华民族共同体建设取得的进展有( )。,提出“绿水青山就是金山银山”等重大论断,着力打赢污染防治攻坚战,创造性以绿色减贫推动精准脱贫,推动民族地区经济高质量发展,,,ABC
第十五章,章节测验,多选题,,** 中国式现代化道路与中华民族共同体建设的关系体现在( )。,超大规模市场为中华民族共同体建设提供强大动能,共同富裕是中华民族共同体建设的物质基础,物质文明与精神文明相协调是重要保障,和平发展道路是世界愿景和格局担当,,,ABCD
第十五章,章节测验,多选题,,** 新时代中华民族共同体建设的新路向包( )。,超大规模现代化之路,共同富裕之路,物质文明与精神文明相协调之路,全球化发展之路,,,ABC
第十五章,章节测验,多选题,,中华民族共同体建设在政治、经济、社会、文化和生态文明建设方面的成就有( )。,政治上各民族共同当家作主，政治共同性增强,经济上整体摆脱绝对贫困，共同体经济基础巩固,社会上形成社会治理共同体，各民族共居共学共事共乐,文化上推进共有精神家园建设，促进文化创新交融,生态文明上各区域协同联动，生态环境根本好转,,ABCDE
第十五章,章节测验,判断题,,** 中国特色社会主义进入新时代，中华民族伟大复兴进入了不可逆转的历史进程。,,,,,,,对
第十五章,章节测验,判断题,,** 新时代的民族工作主要集中在民族地区，重点是解决民族地区的经济问题。,,,,,,,错
第十五章,章节测验,判断题,,** 民族分裂活动、宗教极端活动、暴力恐怖活动是危害中华民族共同体建设的重大隐患。,,,,,,,对
第十五章,章节测验,判断题,,** 中国特色解决民族问题的正确道路是借鉴其他国家经验，完全照搬西方民族国家理论。,,,,,,,错
第十五章,章节测验,判断题,,** 铸牢中华民族共同体意识是新时代党的民族工作的主线，也是民族地区各项工作的主线。,,,,,,,对
第十五章,章节测验,判断题,,** 新时代民族工作的转向是从主要促进民族间的团结转向更加推动中华民族整体的融聚发展。,,,,,,,对
第十五章,章节测验,判断题,,** 民族事务治理是世界性的治理难题，中国没有解决这一难题的有效方法。,,,,,,,错
第十五章,章节测验,判断题,,** 民族地区在生态文明建设中没有发挥重要作用。,,,,,,,错
第十五章,章节测验,判断题,,** 中国式现代化是实现中华民族伟大复兴的唯一道路。,,,,,,,对
第十五章,章节测验,判断题,,铸牢中华民族共同体意识是新时代党的民族工作的“纲”，所有工作要向此聚焦。,,,,,,,"对
章节测验
已完成"
第十五章,测试题,单选题,,** (  )是国家最高利益所在，也是各族人民根本利益所在。,祖国统一,文化安全,经济发展,社会稳定,,,A
第十五章,测试题,单选题,,** 民族工作是做人的工作，最关键的是(  )。,实现共同富裕,促进教育发展,搞好民族团结,改善民生,,,C
第十五章,测试题,单选题,,** “泛民族主义”思潮对我国哪个地区产生影响?,沿海地区,边疆地区,中部地区,发达地区,,,B
第十五章,测试题,单选题,,** 尽管我国民族地区的经济社会发展取得了历史性成就，但(  )问题依然突出。,腐败,环境污染,教育医疗,发展不平衡不充分,,,D
第十五章,测试题,单选题,,** (  )是新时代党的民族工作和民族地区各项工作的主线。,加强民族团结,铸牢中华民族共同体意识,生态治理,经济发展,,,B
第十五章,测试题,单选题,,** (  )正式提出“铸牢中华民族共同体意识”概念,党的二十大报告,党的十八大报告,党的十九大报告,十八届三中全会,,,C
第十五章,测试题,单选题,,** 2023年6月，在文化传承发展座谈会上，习近平总书记强调要建设( )。,中华民族现代文明,中华民族共同体,社会主义现代化强国,制造业强国,,,A
第十五章,测试题,单选题,,** 我们民族工作的道路自信来自坚持走(   )。,中国特色解决民族问题的正确道路,经济高质量发展的道路,改革开放的道路,现代化国家的道路,,,A
第十五章,测试题,单选题,,** 2014年5月，在( )，习近平总书记明确提出中华民族共同体意识概念。,第一次中央新疆工作座谈会上,第三次中央新疆工作座谈会上,第二次中央新疆工作座谈会上,第五次中央西藏工作座谈会上,,,C
第十五章,测试题,单选题,,** 党的十九大报告正式提出( )概念，并将其写入新修订的党章。,中华民族共同体,铸牢中华民族共同体意识,民族团结进步,民族区域自治,,,B
第十五章,测试题,单选题,,** 铸牢中华民族共同体意识是哪个时期党的民族工作的主线?,中华民族站起来的时期,中华民族富起来的时期,中华民族强起来的时期,所有时期,,,C
第十五章,测试题,单选题,,* (  )是中华民族的旧邦新命。,“绿水青山，就是金山银山”,生态文明建设,“两个结合”,中国式现代化,,,D
第十五章,测试题,单选题,,* (  )，是中华民族共同体建设的物质基础和本质要求。,全体人民共同富裕的现代化,各族人民在消费水平的提高,全面建成小康社会,乡村振兴战略,,,A
第十五章,测试题,单选题,,** 铸牢中华民族共同体意识需要坚持( )观念来观察事物。,片面,静止,系统,孤立,,,C
第十五章,测试题,单选题,,** 下列哪项不是危害中华民族共同体建设的重大隐患?,民族分裂活动,宗教极端活动,暴力恐怖活动,文化交流活动,,,D
第十五章,测试题,单选题,,** 在铸牢中华民族共同体意识的过程中，必须坚持的基本方法不包括哪一项?,人民至上,自信自立,照搬西方,守正创新,,,C
第十五章,测试题,单选题,,** 建构科学完备的中华民族共同体理论体系需要立足( )。,中华民族悠久历史,西方文化,现代科技,国际形势,,,A
第十五章,测试题,单选题,,** 在讲好中华民族故事时，需要大力宣(  )。,科技发展,中华民族共同体意识,国际形势,个人英雄主义,,,B
第十五章,测试题,单选题,,** 铸牢中华民族共同体意识为世界各国解决民族问题提供了(  )。,中国模式,中国智慧和中国经验,中国资金,中国技术,,,B
第十五章,测试题,单选题,,** 着眼建设中华民族现代文明，需要不断构筑共有的()。,物质家园,精神家园,生态家园,科技家园,,,B
第十五章,测试题,多选题,,* 守住民族领域的意识形态阵地，最重要的是(  )。,不断实现各族人民对美好生活向往,强化各族人民特别是青少年的“五个认同意识,构筑起维护国家统一和民族团结的坚固思想长城。,推进制造业强国建设,,,ABC
第十五章,测试题,多选题,,** 对中华民族共同体建设造成严峻挑战的因素包括( )。,民族分裂活动,宗教极端活动,暴力恐怖活动,思想认识误区,,,ABCD
第十五章,测试题,多选题,,** 哪些错误观点可能误导各族群众的国家观与民族观?,僵化、片面地理解马克思主义民族理论,照抄照搬西方民族国家理论,错误史观,强调中华民族多元一体,,,ABC
第十五章,测试题,多选题,,** 强化各族人民对伟大祖国的认同，需要(  )。,实现各族人民对美好生活的向往,消除各种错误观念及影响,强化青少年对中华民族的认同,构筑维护国家统一和民族团结的思想长城,,,ABCD
第十五章,测试题,多选题,,** 民族分裂主义和宗教极端思想的特点包括(  )。,境外有种子,境内有土壤,网上有市场,国家完全控制,,,ABC
第十五章,测试题,多选题,,** 处理好民族关系的重要性体现在(  )。,是国家政治生活的重要内容,影响国家安全稳定,促进生态保护,消解分歧、凝聚共识,,,ABD
第十五章,测试题,多选题,,** 影响民族关系的问题包括( )。,民族地区经济社会发展不平衡,文化环境相对封闭,错误思潮在互联网上滋生传播,国家通用语言文字普及程度高,,,ABC
第十五章,测试题,多选题,,** 新时代民族工作的方向包括( )。,增进共同性,强调差异性,结合民族因素和区域因素,改进民族事务治理体系,,,ACD
第十五章,测试题,多选题,,** 铸牢中华民族共同体意识经历了哪些阶段?,提出概念,丰富内涵,写入党章,纳入新时代党的治藏方略和治疆方略,,,ABCD
第十五章,测试题,多选题,,** 铸牢中华民族共同体意识的重要性体现在:,巩固中华民族伟大复兴的共同思想政治基础,拓展中国特色解决民族问题的正确道路,阻碍党的民族工作发展,为新时代党的民族工作指明方向,,,ABD
第十五章,测试题,多选题,,* 坚持问题导向在民族工作中的体现包括:,在不同历史阶段有不同的阶段性任务,直面短板弱项,按照增进共同性的方向铸牢中华民族共同体意识,坚持正确的，调整过时的,,,ABCD
第十五章,测试题,多选题,,** 在文化传承发展座谈会上，习近平总书记明确指出，中华文明具有突出的连续性和( )等特性。,创新性,统一性,包容性,和平性,,,ABCD
第十五章,测试题,多选题,,** 铸牢中华民族共同体意识需要把握的方法论包括人民至上、自立自信和:,坚持守正创新,坚持问题导向,坚持系统观念,坚持胸怀天下,,,ABCD
第十五章,测试题,多选题,,* 建构中华民族共同体理论体系的措施包括:,优化学科设置,加强学科建设,加快形成中国自主的中华民族共同体史料体系,重视青年专家学者的培养,,,ABCD
第十五章,测试题,多选题,,** 促进各民族广泛交往交流交融的措施有:,推进各民族人口流动融居,构建互嵌式社会结构和社区环境,推动民族地区融入新发展格局,推进网络强国建设,,,ABC
第十五章,测试题,多选题,,** 讲好中华民族故事的方式包括( )。,大力宣传中华民族的历史,创新民族宣传的传播方式,宣传新时代党的民族工作成就,推动中外学术界、民间团体交流互动,,,ABCD
第十五章,测试题,多选题,,** 中国特色社会主义进入新时代，中华民族共同体建设在政治上的成就包括:,政治上更加团结统一,党的领导力显著增强,民族区域自治制度实践不断深化,民族事务治理法治化水平也不断提高,,,ABCD
第十五章,测试题,多选题,,* 民族地区在经济上实现共富共享的表现有:,消除绝对贫困,民族地区城乡居民收入水平普遍提高,民族地区基础设施建设突飞猛进,民族地区与全国经济差距扩大,,,ABC
第十五章,测试题,多选题,,** 中华民族在文化上更加创新交融的表现包括:,中华民族共有精神家园建设深入推进,新的各民族共享文化符号不断生发,中华优秀传统文化不断创造性转化与创新性发展,各民族文化孤立发展,,,ABC
第十五章,测试题,多选题,,* 中华民族在生态文明上更加持续发展的措施包括:,全方位、全地域、全过程加强生态环境保护,在民族地区创造性地以绿色减贫推动精准脱贫,重视生态文明建设,制定出台一系列加强生态文明建设的法规和政策性文件,,,ABCD
第十五章,测试题,判断题,,** 中华民族越是接近伟大复兴，敌对势力就越会干扰破坏我国民族团结，各族人民就更要守护民族团结这条生命线。( ),,,,,,,对
第十五章,测试题,判断题,,** 做好党的民族工作就要做到“管脑子”和“管肚子”并重。( ),,,,,,,对
第十五章,测试题,判断题,,"** 铸牢中华民族共同体意识，是新时代党的民族工作的“纲”,所有工作要向此聚焦。( )",,,,,,,对
第十五章,测试题,判断题,,** 中国共产党在新时代找到了跳出治乱兴衰历史周期率的第二个答案，即自我 革命。( ),,,,,,,对
第十五章,测试题,判断题,,* 党和国家充分发挥中国特色社会主义制度的新型举国体制优势，通过对口援 助和区域协作，积极支持民族地区经济社会大发展。( ),,,,,,,对
第十五章,测试题,判断题,,* 目前，少数民族和民族地区的世界文化遗产有14项、非物质文化遗产有15项，占全国总数比例均超过 1/3。( ),,,,,,,对
第十五章,测试题,判断题,,* 党和国家在民族地区创造性地以绿色减贫推动精准脱贫。( ),,,,,,,对
第十五章,测试题,判断题,,** 中国式现代化道路，就是中华民族共同体建设新路向，就是中华民族现代文明建设的新道路。( ),,,,,,,对
第十五章,测试题,判断题,,** 全体人民共同富裕的现代化，是中华民族共同体建设的物质基础和本质要求。( ),,,,,,,对
第十五章,测试题,判断题,,* 走和平发展道路的现代化，是中华民族共同体建设的世界愿景和格局担当。( ),,,,,,,"对
章节测验
已完成"
第十六章,章节测验,单选题,,** 天下大同、（   ）是中华民族自古以来对人类社会的美好憧憬与对共同秩序的规范构想。,共同富裕,协和万邦,平等互助,世界和平,,,B
第十六章,章节测验,单选题,,2015年9月，习近平总书记在第七十届联合国大会上首次提出“全人类共同价值”这一概念，指出（   ）是其基本内涵。,和平、共享、正义、民主、健康、自由,和平、协调、共享、公正、民主、自由,和平、自由、民主、正义、健康、自由,和平、发展、公平、正义、民主、自由,,,D
第十六章,章节测验,单选题,,** 2023年3月，习近平总书记在中国共产党与世界政党高层对话会上发表主旨讲话，首次提出（   ），倡导不同文明包容共存、交流互鉴。,全球文明倡议,全球安全倡议,全球发展倡议,全球治理观,,,A
第十六章,章节测验,单选题,,中国共产党始终坚持从统筹国内国际两个大局出发，对内建设中华民族共同体，对外（   ），为中国与世界的良性互动提供理论支撑和实践支持。,奉行和平共处五项原则,推动构建人类命运共同体,坚持绿色共享理论,坚持绿色环保低碳,,,B
第十六章,章节测验,单选题,,2017年10月，党的十九大报告提出“构建人类命运共同体，建设持久和平、普遍安全，共同繁荣、（   ）、清洁美丽的世界”。,共建共享,开放包容,团结互助,和平发展,,,B
第十六章,章节测验,单选题,,2017年1月，习近平总书记在联合国日内瓦总部发表演讲时指出的五大坚持是：坚持对话协商、坚持共建共享、坚持交流互鉴、坚持合作共赢、（   ）。,坚持绿色发展,坚持绿色共享,坚持绿色低碳,坚持绿色环保,,,C
第十六章,章节测验,单选题,,** 16.中华民族秉持天下大同情怀，为推动构建人类命运共同体注入（   ）基因。,健康,包容,共享,和平,,,D
第十六章,章节测验,单选题,,"** 15.中国历代王朝塑造天下大同秩序，构建多元一体格局，推进不同族群深入交往交流交融，促进中华民族共同体（   ）发展。
​
​",融聚,融合,融通,融洽,,,A
第十六章,章节测验,单选题,,** 中国不仅是推动构建人类命运共同体重要理念的倡导者，更是坚定的推动者、( )。,发起者,实践者,提供者,终结者,,,B
第十六章,章节测验,单选题,,** 一个持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界，是中华民族同世界各国人民携手构建( )的共同愿景。,全球治理观,人类命运共同体,共同利益观,可持续发展观,,,B
第十六章,章节测验,单选题,,** 随着世界( )和经济全球化深入发展，第二次世界大战后建立的国际秩序和全球治理体系已经越来越难以应对正在发生深刻变化的国际局势，改革已是大势所趋。,两极格局,多极化,单极格局,多元化,,,B
第十六章,章节测验,单选题,,** 从15世纪末开始的( )以来的历史，是西方崛起的历史。,文艺复兴,启蒙运动,地理大发现,宗教改革,,,C
第十六章,章节测验,单选题,,第一次世界大战后建立的( )本质上是列强支配体系，中国的主权权益得不到国际法的有效保护，世界诸多民族仍处于殖民通知之下。,凡尔赛-华盛顿体系,维也纳体系,雅尔塔体系,威斯特伐利亚体系,,,A
第十六章,章节测验,单选题,,** 第二次世界大战后形成的( )及联合国国际法框架，在主权平等、安全治理与人权保护方面有重要进步。,凡尔赛-华盛顿体系,维也纳体系,雅尔塔体系,威斯特伐利亚体系,,,C
第十六章,章节测验,单选题,,** ( )是国家层面的多元一体的民族共同体，是人类命运共同体和人类文明新形态的重要推动力量。,中华民族共同体,中华民族多元一体格局,中华民族综合体,“大一统”思想,,,A
第十六章,章节测验,单选题,,( )年以来，中国稳居世界第二大经济体。,2000,2010,2015,2020,,,B
第十六章,章节测验,单选题,,** 从民主治理看，中国实行( )。,形式民主,间接民主,全过程人民民主,协商民主,,,C
第十六章,章节测验,单选题,,** 从法治实践看，中国实行( )。,依法治国,法治德治结合,司法独立,分权制衡,,,A
第十六章,章节测验,单选题,,从社会治理看，中国在现代化转型过程中继承发展了( )。,“家国同构”传统 B、原子化的市民社会,“个人至上”传统 D、“家国一体”传统,,,,,A
第十六章,章节测验,单选题,,** 中国奉行( )的和平外交政策。,求同存异,独立自主,平等互利,加强合作,,,B
第十六章,章节测验,单选题,,中华民族共同体经历了从( )这种从“分”到“合”的历史进程。,多民族区域性统一到多民族全国性统一,单一民族统一到多民族统一,区域自治到全国统一,多民族区域自治到多民族互嵌融合,,,A
第十六章,章节测验,单选题,,西方现代民族国家从古罗马帝国体系和基督教神权政治中分化裂变而来，在整体上表现出( )的历史趋向。,从“合”到“分”,“分”久必“合”,从“分”到“合”,时“分”时“合”,,,A
第十六章,章节测验,单选题,,** 中国实行( )，将民族因素与区域因素相结合，将民族特色与共同体共性相结合，解决了单一制国家内部的民族整合问题。,民族区域自治制度,同化压制政策,多元文化主义政策,公投程序,,,A
第十六章,章节测验,单选题,,** 推进( )，对于推动构建人类命运共同体具有重大理论和实践意义。,中华民族共同体建设,全人类的共同价值,各族群众实现共同富裕,人类文明新形态,,,A
